ec_number,n_proteins,tool,recall
1.2.1.12,1,deepectransformer-learnt,0.0000
1.2.1.12,1,ecrecer,0.0000
1.2.1.12,1,clean-supcon,0.0000
1.2.1.12,1,enzbert-regular,0.0000
1.2.1.12,1,enzbert-learnt,0.0000
1.2.1.12,1,proteinbert-regular,0.0000
1.2.1.12,1,proteinbert-learnt,0.0000
1.2.1.12,1,stacked,0.0000
1.2.1.12,1,majority-voting-regular,0.0000
1.2.1.12,1,majority-voting-learnt,0.0000
1.2.1.12,1,species,0.0000
1.5.1,2,CAV,1.0000
1.5.1,2,deepectransformer-regular,1.0000
1.5.1,2,deepectransformer-learnt,1.0000
1.5.1,2,ecrecer,1.0000
1.5.1,2,clean-supcon,1.0000
1.5.1,2,enzbert-regular,1.0000
1.5.1,2,enzbert-learnt,1.0000
1.5.1,2,proteinbert-regular,0.5000
1.5.1,2,proteinbert-learnt,1.0000
1.5.1,2,stacked,1.0000
1.5.1,2,majority-voting-regular,1.0000
1.5.1,2,majority-voting-learnt,1.0000
1.5.1,2,species,0.0000
1.6.2,1,CAV,1.0000
1.6.2,1,deepectransformer-regular,0.0000
1.6.2,1,deepectransformer-learnt,0.0000
1.6.2,1,ecrecer,0.0000
1.6.2,1,clean-supcon,0.0000
1.6.2,1,enzbert-regular,0.0000
1.6.2,1,enzbert-learnt,0.0000
1.6.2,1,proteinbert-regular,0.0000
1.6.2,1,proteinbert-learnt,0.0000
1.6.2,1,stacked,0.0000
1.6.2,1,majority-voting-regular,0.0000
1.6.2,1,majority-voting-learnt,0.0000
1.6.2,1,species,0.0000
1.7.1,2,CAV,1.0000
1.7.1,2,deepectransformer-regular,0.0000
1.7.1,2,deepectransformer-learnt,0.0000
1.7.1,2,ecrecer,0.0000
1.7.1,2,clean-supcon,0.0000
1.7.1,2,enzbert-regular,0.0000
1.7.1,2,enzbert-learnt,0.0000
1.7.1,2,proteinbert-regular,0.0000
1.7.1,2,proteinbert-learnt,0.0000
1.7.1,2,stacked,0.0000
1.7.1,2,majority-voting-regular,0.0000
1.7.1,2,majority-voting-learnt,0.0000
1.7.1,2,species,0.0000
2,1,CAV,0.0000
2,1,deepectransformer-regular,1.0000
2,1,deepectransformer-learnt,1.0000
2,1,ecrecer,0.0000
2,1,clean-supcon,0.0000
2,1,enzbert-regular,0.0000
2,1,enzbert-learnt,0.0000
2,1,proteinbert-regular,0.0000
2,1,proteinbert-learnt,0.0000
2,1,stacked,0.0000
2,1,majority-voting-regular,0.0000
2,1,majority-voting-learnt,1.0000
2,1,species,0.0000
2.1,2,CAV,0.5000
2.1,2,deepectransformer-regular,1.0000
2.1,2,deepectransformer-learnt,1.0000
2.1,2,ecrecer,1.0000
2.1,2,clean-supcon,1.0000
2.1,2,enzbert-regular,1.0000
2.1,2,enzbert-learnt,1.0000
2.1,2,proteinbert-regular,1.0000
2.1,2,proteinbert-learnt,1.0000
2.1,2,stacked,1.0000
2.1,2,majority-voting-regular,1.0000
2.1,2,majority-voting-learnt,1.0000
2.1,2,species,0.0000
2.1.1,12,CAV,0.9167
2.1.1,12,deepectransformer-regular,0.5000
2.1.1,12,deepectransformer-learnt,0.5000
2.1.1,12,ecrecer,0.9167
2.1.1,12,clean-supcon,0.7500
2.1.1,12,enzbert-regular,0.9167
2.1.1,12,enzbert-learnt,0.9167
2.1.1,12,proteinbert-regular,0.8333
2.1.1,12,proteinbert-learnt,0.8333
2.1.1,12,stacked,1.0000
2.1.1,12,majority-voting-regular,0.9167
2.1.1,12,majority-voting-learnt,0.9167
2.1.1,12,species,0.0000
2.1.1.72,3,CAV,1.0000
2.1.1.72,3,deepectransformer-regular,1.0000
2.1.1.72,3,deepectransformer-learnt,1.0000
2.1.1.72,3,ecrecer,0.0000
2.1.1.72,3,clean-supcon,1.0000
2.1.1.72,3,enzbert-regular,1.0000
2.1.1.72,3,enzbert-learnt,1.0000
2.1.1.72,3,proteinbert-regular,1.0000
2.1.1.72,3,proteinbert-learnt,1.0000
2.1.1.72,3,stacked,1.0000
2.1.1.72,3,majority-voting-regular,1.0000
2.1.1.72,3,majority-voting-learnt,1.0000
2.1.1.72,3,species,0.0000
2.3.1,31,CAV,0.9355
2.3.1,31,deepectransformer-regular,0.4194
2.3.1,31,deepectransformer-learnt,0.3871
2.3.1,31,ecrecer,0.9032
2.3.1,31,clean-supcon,0.8710
2.3.1,31,enzbert-regular,0.9032
2.3.1,31,enzbert-learnt,0.9032
2.3.1,31,proteinbert-regular,0.8065
2.3.1,31,proteinbert-learnt,0.8065
2.3.1,31,stacked,0.9355
2.3.1,31,majority-voting-regular,0.9032
2.3.1,31,majority-voting-learnt,0.9032
2.3.1,31,species,0.0000
2.3.2.27,1,CAV,1.0000
2.3.2.27,1,deepectransformer-regular,1.0000
2.3.2.27,1,deepectransformer-learnt,1.0000
2.3.2.27,1,ecrecer,1.0000
2.3.2.27,1,clean-supcon,1.0000
2.3.2.27,1,enzbert-regular,1.0000
2.3.2.27,1,enzbert-learnt,1.0000
2.3.2.27,1,proteinbert-regular,1.0000
2.3.2.27,1,proteinbert-learnt,1.0000
2.3.2.27,1,stacked,1.0000
2.3.2.27,1,majority-voting-regular,1.0000
2.3.2.27,1,majority-voting-learnt,1.0000
2.3.2.27,1,species,0.0000
2.3.3,2,CAV,1.0000
2.3.3,2,deepectransformer-regular,1.0000
2.3.3,2,deepectransformer-learnt,1.0000
2.3.3,2,ecrecer,1.0000
2.3.3,2,clean-supcon,1.0000
2.3.3,2,enzbert-regular,1.0000
2.3.3,2,enzbert-learnt,1.0000
2.3.3,2,proteinbert-regular,1.0000
2.3.3,2,proteinbert-learnt,1.0000
2.3.3,2,stacked,1.0000
2.3.3,2,majority-voting-regular,1.0000
2.3.3,2,majority-voting-learnt,1.0000
2.3.3,2,species,0.0000
2.4.1,4,CAV,1.0000
2.4.1,4,deepectransformer-regular,1.0000
2.4.1,4,deepectransformer-learnt,0.7500
2.4.1,4,ecrecer,1.0000
2.4.1,4,clean-supcon,1.0000
2.4.1,4,enzbert-regular,1.0000
2.4.1,4,enzbert-learnt,1.0000
2.4.1,4,proteinbert-regular,1.0000
2.4.1,4,proteinbert-learnt,1.0000
2.4.1,4,stacked,1.0000
2.4.1,4,majority-voting-regular,1.0000
2.4.1,4,majority-voting-learnt,1.0000
2.4.1,4,species,0.0000
2.4.1.17,1,CAV,1.0000
2.4.1.17,1,deepectransformer-regular,1.0000
2.4.1.17,1,deepectransformer-learnt,1.0000
2.4.1.17,1,ecrecer,1.0000
2.4.1.17,1,clean-supcon,1.0000
2.4.1.17,1,enzbert-regular,1.0000
2.4.1.17,1,enzbert-learnt,1.0000
2.4.1.17,1,proteinbert-regular,1.0000
2.4.1.17,1,proteinbert-learnt,1.0000
2.4.1.17,1,stacked,1.0000
2.4.1.17,1,majority-voting-regular,1.0000
2.4.1.17,1,majority-voting-learnt,1.0000
2.4.1.17,1,species,0.0000
2.5.1.1,3,CAV,1.0000
2.5.1.1,3,deepectransformer-regular,0.0000
2.5.1.1,3,deepectransformer-learnt,0.6667
2.5.1.1,3,ecrecer,0.0000
2.5.1.1,3,clean-supcon,1.0000
2.5.1.1,3,enzbert-regular,0.0000
2.5.1.1,3,enzbert-learnt,0.0000
2.5.1.1,3,proteinbert-regular,1.0000
2.5.1.1,3,proteinbert-learnt,1.0000
2.5.1.1,3,stacked,1.0000
2.5.1.1,3,majority-voting-regular,0.0000
2.5.1.1,3,majority-voting-learnt,0.0000
2.5.1.1,3,species,0.0000
2.5.1.10,4,CAV,1.0000
2.5.1.10,4,deepectransformer-regular,0.7500
2.5.1.10,4,deepectransformer-learnt,0.5000
2.5.1.10,4,ecrecer,1.0000
2.5.1.10,4,clean-supcon,1.0000
2.5.1.10,4,enzbert-regular,0.0000
2.5.1.10,4,enzbert-learnt,0.0000
2.5.1.10,4,proteinbert-regular,0.7500
2.5.1.10,4,proteinbert-learnt,0.7500
2.5.1.10,4,stacked,1.0000
2.5.1.10,4,majority-voting-regular,0.5000
2.5.1.10,4,majority-voting-learnt,0.0000
2.5.1.10,4,species,0.0000
2.5.1.29,3,CAV,1.0000
2.5.1.29,3,deepectransformer-regular,0.3333
2.5.1.29,3,deepectransformer-learnt,1.0000
2.5.1.29,3,ecrecer,0.0000
2.5.1.29,3,clean-supcon,1.0000
2.5.1.29,3,enzbert-regular,1.0000
2.5.1.29,3,enzbert-learnt,1.0000
2.5.1.29,3,proteinbert-regular,1.0000
2.5.1.29,3,proteinbert-learnt,1.0000
2.5.1.29,3,stacked,1.0000
2.5.1.29,3,majority-voting-regular,1.0000
2.5.1.29,3,majority-voting-learnt,1.0000
2.5.1.29,3,species,0.0000
2.7.7,3,CAV,0.3333
2.7.7,3,deepectransformer-regular,0.0000
2.7.7,3,deepectransformer-learnt,0.0000
2.7.7,3,ecrecer,1.0000
2.7.7,3,clean-supcon,0.6667
2.7.7,3,enzbert-regular,1.0000
2.7.7,3,enzbert-learnt,1.0000
2.7.7,3,proteinbert-regular,0.0000
2.7.7,3,proteinbert-learnt,0.0000
2.7.7,3,stacked,1.0000
2.7.7,3,majority-voting-regular,1.0000
2.7.7,3,majority-voting-learnt,0.6667
2.7.7,3,species,0.0000
2.7.7.7,1,CAV,1.0000
2.7.7.7,1,deepectransformer-regular,1.0000
2.7.7.7,1,deepectransformer-learnt,1.0000
2.7.7.7,1,ecrecer,1.0000
2.7.7.7,1,clean-supcon,1.0000
2.7.7.7,1,enzbert-regular,1.0000
2.7.7.7,1,enzbert-learnt,1.0000
2.7.7.7,1,proteinbert-regular,0.0000
2.7.7.7,1,proteinbert-learnt,0.0000
2.7.7.7,1,stacked,1.0000
2.7.7.7,1,majority-voting-regular,1.0000
2.7.7.7,1,majority-voting-learnt,1.0000
2.7.7.7,1,species,0.0000
3.1,6,CAV,0.3333
3.1,6,deepectransformer-regular,0.0000
3.1,6,deepectransformer-learnt,0.0000
3.1,6,ecrecer,0.8333
3.1,6,clean-supcon,0.5000
3.1,6,enzbert-regular,0.8333
3.1,6,enzbert-learnt,0.8333
3.1,6,proteinbert-regular,0.0000
3.1,6,proteinbert-learnt,0.0000
3.1,6,stacked,0.8333
3.1,6,majority-voting-regular,0.6667
3.1,6,majority-voting-learnt,0.6667
3.1,6,species,0.0000
3.1.1,2,CAV,0.5000
3.1.1,2,deepectransformer-regular,0.5000
3.1.1,2,deepectransformer-learnt,0.5000
3.1.1,2,ecrecer,0.0000
3.1.1,2,clean-supcon,0.5000
3.1.1,2,enzbert-regular,0.5000
3.1.1,2,enzbert-learnt,0.5000
3.1.1,2,proteinbert-regular,0.0000
3.1.1,2,proteinbert-learnt,0.0000
3.1.1,2,stacked,0.5000
3.1.1,2,majority-voting-regular,0.5000
3.1.1,2,majority-voting-learnt,0.5000
3.1.1,2,species,0.0000
3.1.1.1,1,CAV,1.0000
3.1.1.1,1,deepectransformer-regular,0.0000
3.1.1.1,1,deepectransformer-learnt,0.0000
3.1.1.1,1,ecrecer,0.0000
3.1.1.1,1,clean-supcon,1.0000
3.1.1.1,1,enzbert-regular,0.0000
3.1.1.1,1,enzbert-learnt,0.0000
3.1.1.1,1,proteinbert-regular,0.0000
3.1.1.1,1,proteinbert-learnt,0.0000
3.1.1.1,1,stacked,0.0000
3.1.1.1,1,majority-voting-regular,0.0000
3.1.1.1,1,majority-voting-learnt,0.0000
3.1.1.1,1,species,0.0000
3.1.1.3,1,CAV,1.0000
3.1.1.3,1,deepectransformer-regular,1.0000
3.1.1.3,1,deepectransformer-learnt,1.0000
3.1.1.3,1,ecrecer,1.0000
3.1.1.3,1,clean-supcon,1.0000
3.1.1.3,1,enzbert-regular,1.0000
3.1.1.3,1,enzbert-learnt,1.0000
3.1.1.3,1,proteinbert-regular,1.0000
3.1.1.3,1,proteinbert-learnt,1.0000
3.1.1.3,1,stacked,1.0000
3.1.1.3,1,majority-voting-regular,1.0000
3.1.1.3,1,majority-voting-learnt,1.0000
3.1.1.3,1,species,0.0000
3.1.1.4,22,CAV,0.8636
3.1.1.4,22,deepectransformer-regular,0.5909
3.1.1.4,22,deepectransformer-learnt,0.5909
3.1.1.4,22,ecrecer,0.7727
3.1.1.4,22,clean-supcon,0.9091
3.1.1.4,22,enzbert-regular,0.7273
3.1.1.4,22,enzbert-learnt,0.7273
3.1.1.4,22,proteinbert-regular,0.8636
3.1.1.4,22,proteinbert-learnt,0.8636
3.1.1.4,22,stacked,0.9091
3.1.1.4,22,majority-voting-regular,0.9091
3.1.1.4,22,majority-voting-learnt,0.9091
3.1.1.4,22,species,0.0000
3.1.11,1,CAV,1.0000
3.1.11,1,deepectransformer-regular,0.0000
3.1.11,1,deepectransformer-learnt,0.0000
3.1.11,1,ecrecer,0.0000
3.1.11,1,clean-supcon,0.0000
3.1.11,1,enzbert-regular,0.0000
3.1.11,1,enzbert-learnt,0.0000
3.1.11,1,proteinbert-regular,0.0000
3.1.11,1,proteinbert-learnt,0.0000
3.1.11,1,stacked,1.0000
3.1.11,1,majority-voting-regular,0.0000
3.1.11,1,majority-voting-learnt,0.0000
3.1.11,1,species,0.0000
3.1.2,4,CAV,1.0000
3.1.2,4,deepectransformer-regular,0.5000
3.1.2,4,deepectransformer-learnt,0.5000
3.1.2,4,ecrecer,1.0000
3.1.2,4,clean-supcon,0.5000
3.1.2,4,enzbert-regular,0.2500
3.1.2,4,enzbert-learnt,0.2500
3.1.2,4,proteinbert-regular,0.2500
3.1.2,4,proteinbert-learnt,0.2500
3.1.2,4,stacked,0.7500
3.1.2,4,majority-voting-regular,0.5000
3.1.2,4,majority-voting-learnt,0.5000
3.1.2,4,species,0.0000
3.2.1,2,CAV,1.0000
3.2.1,2,deepectransformer-regular,1.0000
3.2.1,2,deepectransformer-learnt,1.0000
3.2.1,2,ecrecer,1.0000
3.2.1,2,clean-supcon,0.5000
3.2.1,2,enzbert-regular,0.5000
3.2.1,2,enzbert-learnt,0.5000
3.2.1,2,proteinbert-regular,1.0000
3.2.1,2,proteinbert-learnt,1.0000
3.2.1,2,stacked,1.0000
3.2.1,2,majority-voting-regular,1.0000
3.2.1,2,majority-voting-learnt,0.5000
3.2.1,2,species,0.0000
3.2.1.4,1,CAV,0.0000
3.2.1.4,1,deepectransformer-regular,0.0000
3.2.1.4,1,deepectransformer-learnt,0.0000
3.2.1.4,1,ecrecer,0.0000
3.2.1.4,1,clean-supcon,0.0000
3.2.1.4,1,enzbert-regular,0.0000
3.2.1.4,1,enzbert-learnt,0.0000
3.2.1.4,1,proteinbert-regular,0.0000
3.2.1.4,1,proteinbert-learnt,0.0000
3.2.1.4,1,stacked,1.0000
3.2.1.4,1,majority-voting-regular,0.0000
3.2.1.4,1,majority-voting-learnt,1.0000
3.2.1.4,1,species,0.0000
3.2.2.6,1,CAV,1.0000
3.2.2.6,1,deepectransformer-regular,0.0000
3.2.2.6,1,deepectransformer-learnt,0.0000
3.2.2.6,1,ecrecer,0.0000
3.2.2.6,1,clean-supcon,0.0000
3.2.2.6,1,enzbert-regular,0.0000
3.2.2.6,1,enzbert-learnt,0.0000
3.2.2.6,1,proteinbert-regular,0.0000
3.2.2.6,1,proteinbert-learnt,0.0000
3.2.2.6,1,stacked,0.0000
3.2.2.6,1,majority-voting-regular,0.0000
3.2.2.6,1,majority-voting-learnt,0.0000
3.2.2.6,1,species,0.0000
3.4,1,CAV,0.0000
3.4,1,deepectransformer-regular,0.0000
3.4,1,deepectransformer-learnt,0.0000
3.4,1,ecrecer,0.0000
3.4,1,clean-supcon,0.0000
3.4,1,enzbert-regular,0.0000
3.4,1,enzbert-learnt,0.0000
3.4,1,proteinbert-regular,1.0000
3.4,1,proteinbert-learnt,1.0000
3.4,1,stacked,0.0000
3.4,1,majority-voting-regular,0.0000
3.4,1,majority-voting-learnt,0.0000
3.4,1,species,0.0000
3.4.11,1,CAV,1.0000
3.4.11,1,deepectransformer-regular,0.0000
3.4.11,1,deepectransformer-learnt,0.0000
3.4.11,1,ecrecer,1.0000
3.4.11,1,clean-supcon,1.0000
3.4.11,1,enzbert-regular,1.0000
3.4.11,1,enzbert-learnt,1.0000
3.4.11,1,proteinbert-regular,0.0000
3.4.11,1,proteinbert-learnt,0.0000
3.4.11,1,stacked,1.0000
3.4.11,1,majority-voting-regular,1.0000
3.4.11,1,majority-voting-learnt,1.0000
3.4.11,1,species,0.0000
3.4.21,3,CAV,0.6667
3.4.21,3,deepectransformer-regular,0.0000
3.4.21,3,deepectransformer-learnt,0.0000
3.4.21,3,ecrecer,1.0000
3.4.21,3,clean-supcon,1.0000
3.4.21,3,enzbert-regular,1.0000
3.4.21,3,enzbert-learnt,1.0000
3.4.21,3,proteinbert-regular,1.0000
3.4.21,3,proteinbert-learnt,1.0000
3.4.21,3,stacked,1.0000
3.4.21,3,majority-voting-regular,1.0000
3.4.21,3,majority-voting-learnt,1.0000
3.4.21,3,species,0.0000
3.4.23,1,CAV,1.0000
3.4.23,1,deepectransformer-regular,1.0000
3.4.23,1,deepectransformer-learnt,1.0000
3.4.23,1,ecrecer,1.0000
3.4.23,1,clean-supcon,1.0000
3.4.23,1,enzbert-regular,1.0000
3.4.23,1,enzbert-learnt,1.0000
3.4.23,1,proteinbert-regular,1.0000
3.4.23,1,proteinbert-learnt,1.0000
3.4.23,1,stacked,1.0000
3.4.23,1,majority-voting-regular,1.0000
3.4.23,1,majority-voting-learnt,1.0000
3.4.23,1,species,0.0000
3.4.24,1,CAV,0.0000
3.4.24,1,deepectransformer-regular,0.0000
3.4.24,1,deepectransformer-learnt,0.0000
3.4.24,1,ecrecer,0.0000
3.4.24,1,clean-supcon,0.0000
3.4.24,1,enzbert-regular,0.0000
3.4.24,1,enzbert-learnt,0.0000
3.4.24,1,proteinbert-regular,0.0000
3.4.24,1,proteinbert-learnt,0.0000
3.4.24,1,stacked,1.0000
3.4.24,1,majority-voting-regular,0.0000
3.4.24,1,majority-voting-learnt,0.0000
3.4.24,1,species,0.0000
3.5,4,CAV,0.0000
3.5,4,deepectransformer-regular,0.2500
3.5,4,deepectransformer-learnt,0.2500
3.5,4,ecrecer,0.2500
3.5,4,clean-supcon,0.5000
3.5,4,enzbert-regular,0.2500
3.5,4,enzbert-learnt,0.2500
3.5,4,proteinbert-regular,0.0000
3.5,4,proteinbert-learnt,0.0000
3.5,4,stacked,0.0000
3.5,4,majority-voting-regular,0.5000
3.5,4,majority-voting-learnt,0.5000
3.5,4,species,0.0000
3.5.4,1,CAV,0.0000
3.5.4,1,deepectransformer-regular,0.0000
3.5.4,1,deepectransformer-learnt,0.0000
3.5.4,1,ecrecer,0.0000
3.5.4,1,clean-supcon,0.0000
3.5.4,1,enzbert-regular,0.0000
3.5.4,1,enzbert-learnt,0.0000
3.5.4,1,proteinbert-regular,0.0000
3.5.4,1,proteinbert-learnt,0.0000
3.5.4,1,stacked,0.0000
3.5.4,1,majority-voting-regular,0.0000
3.5.4,1,majority-voting-learnt,0.0000
3.5.4,1,species,0.0000
3.6.1,2,CAV,0.5000
3.6.1,2,deepectransformer-regular,0.0000
3.6.1,2,deepectransformer-learnt,0.0000
3.6.1,2,ecrecer,0.0000
3.6.1,2,clean-supcon,0.0000
3.6.1,2,enzbert-regular,0.5000
3.6.1,2,enzbert-learnt,0.5000
3.6.1,2,proteinbert-regular,0.5000
3.6.1,2,proteinbert-learnt,0.5000
3.6.1,2,stacked,0.5000
3.6.1,2,majority-voting-regular,0.0000
3.6.1,2,majority-voting-learnt,0.0000
3.6.1,2,species,0.0000
4,4,CAV,0.0000
4,4,deepectransformer-regular,0.0000
4,4,deepectransformer-learnt,0.0000
4,4,ecrecer,0.0000
4,4,clean-supcon,1.0000
4,4,enzbert-regular,0.0000
4,4,enzbert-learnt,0.0000
4,4,proteinbert-regular,0.0000
4,4,proteinbert-learnt,0.0000
4,4,stacked,0.0000
4,4,majority-voting-regular,0.0000
4,4,majority-voting-learnt,0.0000
4,4,species,0.0000
4.1.1,3,CAV,1.0000
4.1.1,3,deepectransformer-regular,0.0000
4.1.1,3,deepectransformer-learnt,0.0000
4.1.1,3,ecrecer,0.0000
4.1.1,3,clean-supcon,0.0000
4.1.1,3,enzbert-regular,0.0000
