gene1,gene2,r
ADAMDEC1,ADAMDEC1,1.0
ADAMDEC1,CXCL14,0.5771864094889407
ADAMDEC1,EDNRB,0.1578880866599727
ADAMDEC1,PROCR,0.23600181689621424
CXCL14,ADAMDEC1,0.5771864094889407
CXCL14,CXCL14,1.0
CXCL14,EDNRB,0.3821526225365452
CXCL14,PROCR,0.3126566748191467
EDNRB,ADAMDEC1,0.1578880866599727
EDNRB,CXCL14,0.3821526225365452
EDNRB,EDNRB,1.0
EDNRB,PROCR,0.13915432623781498
PROCR,ADAMDEC1,0.23600181689621424
PROCR,CXCL14,0.3126566748191467
PROCR,EDNRB,0.13915432623781498
PROCR,PROCR,1.0
