recall,cav_precision,cav_precision_sd,tool_precision,tool_precision_sd
0.0000,0.9823,0.1319,0.9956,0.0664
0.0100,0.9797,0.1281,0.9938,0.0632
0.0200,0.9771,0.1256,0.9921,0.0603
0.0300,0.9745,0.1244,0.9903,0.0576
0.0400,0.9719,0.1246,0.9886,0.0551
0.0500,0.9692,0.1261,0.9868,0.0529
0.0600,0.9663,0.1289,0.9850,0.0511
0.0700,0.9620,0.1344,0.9832,0.0496
0.0800,0.9636,0.1315,0.9819,0.0418
0.0900,0.9605,0.1367,0.9799,0.0439
0.1000,0.9584,0.1415,0.9777,0.0461
0.1100,0.9548,0.1481,0.9754,0.0484
0.1200,0.9512,0.1556,0.9730,0.0508
0.1300,0.9586,0.1411,0.9705,0.0532
0.1400,0.9551,0.1467,0.9680,0.0558
0.1500,0.9511,0.1537,0.9654,0.0584
0.1600,0.9505,0.1562,0.9627,0.0612
0.1700,0.9547,0.1466,0.9600,0.0639
0.1800,0.9517,0.1502,0.9571,0.0666
0.1900,0.9523,0.1449,0.9541,0.0694
0.2000,0.9541,0.1345,0.9511,0.0723
0.2100,0.9506,0.1381,0.9479,0.0752
0.2200,0.9469,0.1426,0.9452,0.0760
0.2300,0.9431,0.1481,0.9420,0.0792
0.2400,0.9393,0.1541,0.9388,0.0824
0.2500,0.9370,0.1612,0.9356,0.0857
0.2600,0.9340,0.1653,0.9323,0.0889
0.2700,0.9308,0.1700,0.9289,0.0923
0.2800,0.9293,0.1727,0.9256,0.0956
0.2900,0.9278,0.1778,0.9223,0.0990
0.3000,0.9256,0.1796,0.9189,0.1024
0.3100,0.9228,0.1831,0.9155,0.1058
0.3200,0.9200,0.1878,0.9121,0.1092
0.3300,0.9166,0.1930,0.9087,0.1127
0.3400,0.9161,0.1915,0.9051,0.1161
0.3500,0.9125,0.1946,0.9014,0.1194
0.3600,0.9097,0.1975,0.8980,0.1219
0.3700,0.9044,0.2038,0.8943,0.1254
0.3800,0.9017,0.2055,0.8905,0.1288
0.3900,0.8994,0.2083,0.8866,0.1322
0.4000,0.9043,0.2001,0.8828,0.1356
0.4100,0.9022,0.2016,0.8785,0.1388
0.4200,0.9002,0.2033,0.8742,0.1420
0.4300,0.9000,0.2040,0.8699,0.1452
0.4400,0.8977,0.2060,0.8654,0.1484
0.4500,0.8955,0.2085,0.8609,0.1514
0.4600,0.8937,0.2101,0.8562,0.1545
0.4700,0.8907,0.2136,0.8516,0.1577
0.4800,0.8882,0.2156,0.8469,0.1610
0.4900,0.8857,0.2183,0.8422,0.1643
0.5000,0.8827,0.2194,0.8381,0.1680
0.5100,0.8795,0.2206,0.8330,0.1711
0.5200,0.8761,0.2223,0.8279,0.1743
0.5300,0.8743,0.2241,0.8227,0.1776
0.5400,0.8721,0.2255,0.8176,0.1809
0.5500,0.8684,0.2286,0.8124,0.1842
0.5600,0.8658,0.2313,0.8071,0.1876
0.5700,0.8620,0.2342,0.8019,0.1911
0.5800,0.8583,0.2377,0.7962,0.1941
0.5900,0.8546,0.2410,0.7904,0.1971
0.6000,0.8506,0.2424,0.7845,0.2002
0.6100,0.8471,0.2446,0.7785,0.2032
0.6200,0.8434,0.2461,0.7728,0.2065
0.6300,0.8421,0.2445,0.7666,0.2095
0.6400,0.8375,0.2473,0.7602,0.2125
0.6500,0.8332,0.2505,0.7537,0.2154
0.6600,0.8284,0.2539,0.7471,0.2183
0.6700,0.8325,0.2520,0.7409,0.2216
0.6800,0.8267,0.2538,0.7334,0.2237
0.6900,0.8217,0.2558,0.7259,0.2261
0.7000,0.8154,0.2580,0.7184,0.2285
0.7100,0.8100,0.2609,0.7107,0.2308
0.7200,0.8047,0.2636,0.7026,0.2329
0.7300,0.8015,0.2655,0.6944,0.2349
0.7400,0.7956,0.2685,0.6861,0.2372
0.7500,0.7929,0.2687,0.6779,0.2396
0.7600,0.7864,0.2718,0.6693,0.2419
0.7700,0.7797,0.2759,0.6608,0.2443
0.7800,0.7741,0.2796,0.6522,0.2468
0.7900,0.7652,0.2830,0.6430,0.2488
0.8000,0.7621,0.2818,0.6339,0.2511
0.8100,0.7519,0.2842,0.6242,0.2529
0.8200,0.7449,0.2840,0.6145,0.2549
0.8300,0.7355,0.2875,0.6046,0.2568
0.8400,0.7284,0.2840,0.5934,0.2571
0.8500,0.7173,0.2835,0.5816,0.2570
0.8600,0.7046,0.2817,0.5692,0.2562
0.8700,0.6876,0.2798,0.5551,0.2533
0.8800,0.6738,0.2736,0.5407,0.2506
0.8900,0.6553,0.2701,0.5260,0.2479
0.9000,0.6332,0.2649,0.5105,0.2446
0.9100,0.6094,0.2568,0.4945,0.2412
0.9200,0.5843,0.2488,0.4779,0.2375
0.9300,0.5564,0.2389,0.4610,0.2343
0.9400,0.5269,0.2297,0.4436,0.2310
0.9500,0.4995,0.2179,0.4250,0.2262
0.9600,0.4640,0.2011,0.4052,0.2204
0.9700,0.4275,0.1853,0.3844,0.2142
0.9800,0.3913,0.1752,0.3632,0.2091
0.9900,0.3541,0.1674,0.3414,0.2057
1.0000,0.5223,0.2535,0.3256,0.2201
