pair,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,ENSG00000118785,SPP1,1.0257640937982844,0.3491165484909116
neutrophil__breast__normal_vs_breast_cancer,ENSG00000120129,DUSP1,1.012104116981276,0.2311469523475962
neutrophil__breast__normal_vs_breast_cancer,ENSG00000163191,S100A11,1.0052056284860151,0.3906171450022521
neutrophil__breast__normal_vs_breast_cancer,ENSG00000111371,SLC38A1,-0.9859147860477993,-0.1476946547980385
neutrophil__breast__normal_vs_breast_cancer,ENSG00000168685,IL7R,-0.9835604860706776,-0.4217421181280012
neutrophil__breast__normal_vs_breast_cancer,ENSG00000185201,IFITM2,-0.9826177705011646,-0.0494290674693192
neutrophil__breast__normal_vs_breast_cancer,ENSG00000182578,CSF1R,0.9789257300614392,0.4765798232950642
neutrophil__breast__normal_vs_breast_cancer,ENSG00000143226,FCGR2A,0.9766385468507506,0.517991654329236
neutrophil__breast__normal_vs_breast_cancer,ENSG00000160255,ITGB2,0.9704036335090428,0.36065613697406
neutrophil__breast__normal_vs_breast_cancer,ENSG00000123416,TUBA1B,0.966282942478255,0.4024669353807782
neutrophil__breast__normal_vs_breast_cancer,ENSG00000125730,C3,0.954009530922466,0.4735357396155479
neutrophil__breast__normal_vs_breast_cancer,ENSG00000123384,LRP1,0.9519360371379122,0.4512437184294355
neutrophil__breast__normal_vs_breast_cancer,ENSG00000084234,APLP2,0.9503358420774464,0.3728234038658456
neutrophil__breast__normal_vs_breast_cancer,ENSG00000113269,RNF130,0.946764513030282,0.4624506249851239
neutrophil__breast__normal_vs_breast_cancer,ENSG00000165168,CYBB,0.9356344400830924,0.447507454435799
neutrophil__breast__normal_vs_breast_cancer,ENSG00000157514,TSC22D3,-0.9272561146880998,-0.226717397764089
neutrophil__breast__normal_vs_breast_cancer,ENSG00000136238,RAC1,0.9010430363156632,0.4564953929271069
neutrophil__breast__normal_vs_breast_cancer,ENSG00000164713,BRI3,0.895301371778351,0.430534402877936
