recall,cav_precision,cav_precision_sd,tool_precision,tool_precision_sd
0.0000,0.9535,0.2106,0.9961,0.0621
0.0100,0.9504,0.1992,0.9942,0.0602
0.0200,0.9495,0.1914,0.9903,0.0671
0.0300,0.9486,0.1853,0.9887,0.0658
0.0400,0.9465,0.1827,0.9869,0.0663
0.0500,0.9437,0.1821,0.9845,0.0696
0.0600,0.9425,0.1796,0.9849,0.0620
0.0700,0.9406,0.1819,0.9837,0.0600
0.0800,0.9423,0.1781,0.9824,0.0581
0.0900,0.9417,0.1785,0.9809,0.0566
0.1000,0.9419,0.1768,0.9793,0.0557
0.1100,0.9408,0.1779,0.9774,0.0554
0.1200,0.9397,0.1780,0.9757,0.0548
0.1300,0.9423,0.1707,0.9735,0.0569
0.1400,0.9409,0.1721,0.9711,0.0594
0.1500,0.9399,0.1677,0.9685,0.0624
0.1600,0.9385,0.1674,0.9671,0.0625
0.1700,0.9397,0.1622,0.9650,0.0651
0.1800,0.9381,0.1640,0.9621,0.0682
0.1900,0.9375,0.1648,0.9593,0.0717
0.2000,0.9322,0.1697,0.9551,0.0750
0.2100,0.9298,0.1716,0.9524,0.0777
0.2200,0.9293,0.1718,0.9497,0.0805
0.2300,0.9279,0.1737,0.9469,0.0835
0.2400,0.9274,0.1757,0.9442,0.0860
0.2500,0.9274,0.1731,0.9415,0.0885
0.2600,0.9261,0.1744,0.9388,0.0911
0.2700,0.9250,0.1761,0.9360,0.0938
0.2800,0.9243,0.1767,0.9332,0.0966
0.2900,0.9233,0.1789,0.9296,0.0996
0.3000,0.9223,0.1797,0.9263,0.1037
0.3100,0.9214,0.1811,0.9232,0.1064
0.3200,0.9217,0.1786,0.9200,0.1092
0.3300,0.9205,0.1800,0.9169,0.1120
0.3400,0.9179,0.1819,0.9140,0.1145
0.3500,0.9166,0.1834,0.9107,0.1174
0.3600,0.9159,0.1855,0.9074,0.1202
0.3700,0.9152,0.1867,0.9040,0.1231
0.3800,0.9126,0.1897,0.9006,0.1260
0.3900,0.9119,0.1906,0.8971,0.1289
0.4000,0.9102,0.1915,0.8935,0.1318
0.4100,0.9086,0.1924,0.8896,0.1345
0.4200,0.9075,0.1930,0.8857,0.1373
0.4300,0.9093,0.1895,0.8813,0.1403
0.4400,0.9080,0.1910,0.8772,0.1430
0.4500,0.9073,0.1902,0.8730,0.1458
0.4600,0.9049,0.1912,0.8687,0.1485
0.4700,0.9023,0.1925,0.8645,0.1513
0.4800,0.9003,0.1948,0.8601,0.1541
0.4900,0.8989,0.1966,0.8558,0.1569
0.5000,0.8998,0.1927,0.8514,0.1598
0.5100,0.8969,0.1949,0.8466,0.1624
0.5200,0.8940,0.1973,0.8417,0.1650
0.5300,0.8912,0.2005,0.8368,0.1676
0.5400,0.8882,0.2041,0.8319,0.1703
0.5500,0.8864,0.2070,0.8268,0.1729
0.5600,0.8841,0.2102,0.8216,0.1755
0.5700,0.8814,0.2139,0.8163,0.1780
0.5800,0.8763,0.2152,0.8109,0.1805
0.5900,0.8732,0.2178,0.8055,0.1831
0.6000,0.8705,0.2202,0.7997,0.1854
0.6100,0.8674,0.2225,0.7942,0.1881
0.6200,0.8648,0.2248,0.7887,0.1907
0.6300,0.8675,0.2206,0.7829,0.1931
0.6400,0.8662,0.2221,0.7767,0.1953
0.6500,0.8633,0.2244,0.7705,0.1975
0.6600,0.8600,0.2271,0.7643,0.1998
0.6700,0.8563,0.2288,0.7578,0.2018
0.6800,0.8521,0.2317,0.7511,0.2038
0.6900,0.8492,0.2342,0.7444,0.2059
0.7000,0.8441,0.2402,0.7376,0.2079
0.7100,0.8397,0.2437,0.7306,0.2097
0.7200,0.8363,0.2472,0.7235,0.2115
0.7300,0.8318,0.2500,0.7161,0.2132
0.7400,0.8272,0.2540,0.7087,0.2150
0.7500,0.8251,0.2555,0.7012,0.2168
0.7600,0.8195,0.2590,0.6936,0.2185
0.7700,0.8147,0.2623,0.6858,0.2203
0.7800,0.8114,0.2638,0.6780,0.2220
0.7900,0.8065,0.2683,0.6698,0.2234
0.8000,0.8045,0.2684,0.6616,0.2249
0.8100,0.7977,0.2712,0.6526,0.2256
0.8200,0.7909,0.2749,0.6433,0.2260
0.8300,0.7839,0.2777,0.6339,0.2264
0.8400,0.7829,0.2733,0.6244,0.2270
0.8500,0.7746,0.2760,0.6150,0.2279
0.8600,0.7692,0.2733,0.6051,0.2285
0.8700,0.7578,0.2753,0.5949,0.2287
0.8800,0.7503,0.2744,0.5842,0.2285
0.8900,0.7378,0.2758,0.5730,0.2278
0.9000,0.7262,0.2746,0.5617,0.2272
0.9100,0.7083,0.2743,0.5497,0.2261
0.9200,0.6901,0.2731,0.5373,0.2246
0.9300,0.6741,0.2714,0.5243,0.2229
0.9400,0.6503,0.2677,0.5109,0.2209
0.9500,0.6258,0.2648,0.4966,0.2181
0.9600,0.6004,0.2620,0.4823,0.2164
0.9700,0.5715,0.2575,0.4677,0.2154
0.9800,0.5418,0.2535,0.4532,0.2157
0.9900,0.5078,0.2479,0.4386,0.2172
1.0000,0.5634,0.2381,0.4150,0.2109
