pair,level,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000135404,CD63,1.0431422633886809,0.07613450365507703
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000101160,CTSZ,1.0377826575327824,-0.001576459875637155
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000172216,CEBPB,1.0279487839156285,0.020420944628983067
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000118785,SPP1,1.0257640937982844,0.0013252692183260788
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000120129,DUSP1,1.012104116981276,0.2120642369029728
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000163191,S100A11,1.0052056284860151,0.12660344088320577
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000111371,SLC38A1,-0.9859147860477993,0.07794309205154706
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000168685,IL7R,-0.9835604860706776,-0.03890228885679316
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000185201,IFITM2,-0.9826177705011646,0.11979650718318026
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000182578,CSF1R,0.9789257300614392,0.05790043260519843
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000143226,FCGR2A,0.9766385468507506,0.09182761760491048
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000160255,ITGB2,0.9704036335090428,0.11139458661838612
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000123416,TUBA1B,0.966282942478255,0.0306873987975965
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000125730,C3,0.954009530922466,0.11758605097972717
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000123384,LRP1,0.9519360371379122,-0.022981704951249182
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000084234,APLP2,0.9503358420774464,0.004027759299024839
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000113269,RNF130,0.946764513030282,0.01637103327978513
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000165168,CYBB,0.9356344400830924,0.031205774609149098
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000157514,TSC22D3,-0.9272561146880998,0.17345069133801777
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000136238,RAC1,0.9010430363156632,0.07723796969932761
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000164713,BRI3,0.895301371778351,0.01572894280812387
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000108654,DDX5,0.8864536057871347,0.06082038962216595
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000127951,FGL2,0.88223444082288,0.031189077339419263
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000169442,CD52,-0.8793276630912686,0.14547970455376377
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000163220,S100A9,0.8781780866589147,0.03797312283640544
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000197728,RPS26,0.8729034158124047,0.11691189979654834
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000162511,LAPTM5,0.8551136937597825,0.1361343795610316
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000013725,CD6,-0.8532159617568458,0.055608102520767394
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000196683,TOMM7,-0.8523333100512832,-0.022411006463912305
